"","Var1","Var2","value"
"159",2003,10,"  0.655"
"160",2004,10,"  4.621"
"161",2005,10,"  4.383"
"162",2006,10,"  2.738"
"163",2007,10,"  4.274"
"164",2008,10,"  4.274"
"165",2009,10,"  2.744"
"166",2010,10,"  5.289"
"167",2011,10,"  3.894"
"168",2012,10,"  0.306"
"169",2013,10,"  2.088"
"170",NA,10,NA
"171",NA,11,"Белорецкий р-он"
"172",1999,11,"  0.930"
"173",2000,11,"  0.968"
"174",2001,11," 1.109"
"175",2002,11,"  1.887"
"176",2003,11,"  1.105"
"177",2004,11,"  0.921"
"178",2005,11,"  0.627"
"179",2006,11,"  0.976"
"180",2007,11,"  1.475"
"181",2008,11,"  1.536"
"182",2009,11,"  0.595"
"183",2010,11,"  1.312"
"184",2011,11,"  0.334"
"185",2012,11,"  0.425"
"186",2013,11,"  0.401"
"187",NA,11,NA
"188",NA,12,"Бижбулякский р-он"
"189",1999,12,"  3.199"
"190",2000,12,"  1.723"
"191",2001,12," 1.671"
"192",2002,12,"  2.479"
"193",2003,12,"  1.418"
"194",2004,12,"  1.061"
"195",2005,12,"  0.890"
"196",2006,12,"  1.000"
"197",2007,12,"  0.945"
"198",2008,12,"  0.945"
"199",2009,12,"  1.025"
"200",2010,12,"  1.354"
"201",2011,12,"  1.431"
"202",2012,12,"  1.968"
"203",2013,12,"  2.391"
"204",NA,12,NA
"205",NA,13,"Бирский р-он"
"206",1999,13,NA
"207",2000,13,NA
"208",2001,13," 0.576"
"209",2002,13,"  0.557"
"210",2003,13,"  0.434"
"211",2004,13,"  0.326"
"212",2005,13,"  0.059"
"213",2006,13,"  0.053"
"214",2007,13,"  0.047"
"215",2008,13,"  0.042"
"216",2009,13,"  0.040"
"217",2010,13,"  0.039"
"218",2011,13,"  0.041"
"219",2012,13,"  0.180"
"220",2013,13,"  0.124"
"221",NA,13,NA
"222",NA,14,"Благоварский р-он"
"223",1999,14,"  0.964"
"224",2000,14,"  0.622"
"225",2001,14," 0.731"
"226",2002,14,"  0.711"
"227",2003,14,"  0.693"
"228",2004,14,"  0.586"
"229",2005,14,"  0.477"
"230",2006,14,"  0.494"
"231",2007,14,"  0.446"
"232",2008,14,"  0.429"
"233",2009,14,"  0.511"
"234",2010,14,"  0.470"
"235",2011,14,"  0.455"
"236",2012,14,"  0.500"
"237",2013,14,"  1.042"
"238",NA,14,NA
"239",NA,15,"Благовещенский р-он"
"240",1999,15,"  0.249"
"241",2000,15,"  0.112"
"242",2001,15," 0.155"
"243",2002,15,"  0.094"
"244",2003,15,"  0.083"
"245",2004,15,"  0.070"
"246",2005,15," 17.042"
"247",2006,15," 19.226"
"248",2007,15," 21.476"
"249",2008,15," 21.470"
"250",2009,15," 25.946"
"251",2010,15," 26.283"
"252",2011,15," 25.968"
"253",2012,15," 25.577"
"254",2013,15," 18.786"
"255",NA,15,NA
"256",NA,16,"Буздяксвкий р-он"
"257",1999,16,NA
"258",2000,16,NA
"259",2001,16," 0.705"
"260",2002,16,"  0.614"
"261",2003,16,"  0.591"
"262",2004,16,"  0.555"
"263",2005,16,"  0.517"
"264",2006,16,"  0.523"
"265",2007,16,"  0.527"
"266",2008,16,"  0.526"
"267",2009,16,"  0.186"
"268",2010,16,"  0.179"
"269",2011,16,"  0.238"
"270",2012,16,"  0.388"
"271",2013,16,"  0.334"
"272",NA,16,NA
"273",NA,17,"Бураевский р-он"
"274",1999,17,NA
"275",2000,17,NA
"276",2001,17," 0.058"
"277",2002,17,"  0.044"
